"","X1","X2"
"218",50,22
"219",52,22
"220",57,22
"221",63,22
"222",76,22
"223",93,22
"224",95,22
"225",97,22
"226",5,23
"227",16,23
"228",19,23
"229",55,23
"230",57,23
"231",62,23
"232",63,23
"233",73,23
"234",86,23
"235",87,23
"236",97,23
"237",10,24
"238",12,24
"239",20,24
"240",29,24
"241",45,24
"242",47,24
"243",48,24
"244",1,25
"245",16,25
"246",19,25
"247",35,25
"248",36,25
"249",37,25
"250",54,25
"251",62,25
"252",66,25
"253",69,25
"254",99,25
"255",11,26
"256",14,26
"257",30,26
"258",32,26
"259",48,26
"260",68,26
"261",83,26
"262",85,26
"263",87,26
"264",91,26
"265",98,26
"266",12,27
"267",16,27
"268",34,27
"269",38,27
"270",47,27
"271",50,27
"272",71,27
"273",6,28
"274",12,28
"275",19,28
"276",22,28
"277",25,28
"278",30,28
"279",58,28
"280",63,28
"281",67,28
"282",83,28
"283",100,28
"284",14,29
"285",17,29
"286",22,29
"287",23,29
"288",40,29
"289",42,29
"290",47,29
"291",76,29
"292",7,30
"293",54,30
"294",67,30
"295",76,30
"296",78,30
"297",80,30
"298",86,30
"299",90,30
"300",91,30
"301",93,30
"302",96,30
"303",7,31
"304",14,31
"305",34,31
"306",45,31
"307",66,31
"308",84,31
"309",98,31
"310",9,32
"311",18,32
"312",22,32
"313",23,32
"314",27,32
"315",29,32
"316",32,100
"317",47,32
"318",61,32
"319",75,32
"320",79,32
"321",89,32
"322",7,33
"323",16,33
"324",37,33
"325",51,33
"326",57,33
"327",60,33
"328",64,33
"329",67,33
"330",70,33
"331",4,34
"332",13,34
"333",19,34
"334",48,34
"335",50,34
"336",58,34
"337",60,34
"338",64,34
"339",69,34
"340",91,34
"341",7,35
"342",18,35
"343",22,35
"344",23,35
"345",83,35
"346",92,35
"347",15,36
"348",28,36
"349",41,36
"350",42,36
"351",43,36
"352",57,36
"353",72,36
"354",89,36
"355",95,36
"356",11,37
"357",25,37
"358",46,37
"359",82,37
"360",89,37
"361",90,37
"362",95,37
"363",2,38
"364",4,38
"365",9,38
"366",15,38
"367",16,38
"368",18,38
"369",21,38
"370",25,38
"371",29,38
"372",32,38
"373",41,38
"374",60,38
"375",61,38
"376",69,38
"377",77,38
"378",14,39
"379",19,39
"380",24,39
"381",26,39
"382",27,39
"383",67,39
"384",80,39
"385",86,39
"386",91,39
"387",100,39
"388",15,40
"389",19,40
"390",52,40
"391",64,40
"392",68,40
"393",84,40
"394",94,40
"395",2,41
"396",6,41
"397",9,41
"398",18,41
"399",21,41
"400",42,41
"401",50,41
"402",53,41
"403",65,41
"404",77,41
"405",81,41
"406",92,41
"407",94,41
"408",96,41
"409",99,41
"410",8,42
"411",9,42
"412",29,42
"413",45,42
"414",46,42
"415",53,42
"416",66,42
"417",87,42
"418",96,42
"419",97,42
"420",4,43
"421",12,43
"422",14,43
"423",17,43
"424",26,43
"425",31,43
"426",46,43
"427",52,43
"428",71,43
"429",73,43
"430",76,43
"431",79,43
"432",83,43
"433",88,43
"434",19,44
"435",21,44
"436",24,44
"437",40,44
"438",44,100
"439",58,44
"440",66,44
"441",69,44
"442",72,44
"443",80,44
"444",4,45
"445",24,45
"446",26,45
"447",35,45
"448",43,45
"449",47,45
"450",60,45
"451",62,45
"452",71,45
"453",72,45
"454",75,45
"455",83,45
"456",86,45
"457",93,45
"458",3,46
"459",28,46
"460",32,46
"461",63,46
"462",66,46
"463",7,47
"464",9,47
"465",12,47
"466",18,47
"467",28,47
"468",32,47
"469",53,47
"470",56,47
"471",59,47
"472",61,47
"473",69,47
"474",70,47
"475",86,47
"476",91,47
"477",98,47
"478",1,48
"479",15,48
"480",19,48
"481",20,48
"482",35,48
"483",42,48
"484",52,48
"485",74,48
"486",77,48
"487",78,48
"488",99,48
"489",5,49
"490",15,49
"491",20,49
"492",31,49
"493",33,49
"494",41,49
"495",48,49
"496",52,49
"497",70,49
"498",77,49
"499",80,49
"500",82,49
"501",2,50
"502",26,50
"503",31,50
"504",36,50
"505",41,50
"506",58,50
"507",63,50
"508",80,50
"509",95,50
"510",100,50
"511",9,51
"512",12,51
"513",15,51
"514",41,51
"515",87,51
"516",94,51
"517",7,52
"518",11,52
"519",16,52
"520",18,52
"521",24,52
"522",40,52
"523",43,52
"524",81,52
"525",90,52
"526",8,53
"527",20,53
"528",30,53
"529",33,53
"530",36,53
"531",38,53
"532",51,53
"533",59,53
"534",61,53
"535",64,53
"536",69,53
"537",89,53
"538",4,54
"539",7,54
"540",13,54
"541",25,54
"542",29,54
"543",34,54
"544",50,54
"545",57,54
"546",58,54
"547",68,54
"548",72,54
"549",88,54
"550",90,54
"551",37,55
"552",58,55
"553",60,55
"554",21,56
"555",28,56
"556",41,56
"557",66,56
"558",86,56
"559",93,56
"560",99,56
"561",10,57
"562",25,57
"563",36,57
"564",49,57
"565",50,57
"566",55,57
"567",62,57
"568",65,57
"569",68,57
"570",76,57
"571",87,57
"572",91,57
"573",93,57
"574",2,58
"575",19,58
"576",22,58
"577",26,58
"578",36,58
"579",54,58
"580",80,58
"581",85,58
"582",6,59
"583",18,59
"584",28,59
"585",30,59
"586",42,59
"587",49,59
"588",52,59
"589",67,59
"590",88,59
"591",90,59
"592",99,59
"593",7,60
"594",22,60
"595",28,60
"596",30,60
"597",32,60
"598",55,60
"599",67,60
"600",80,60
"601",89,60
"602",23,61
"603",37,61
"604",38,61
"605",45,61
"606",46,61
"607",47,61
"608",75,61
"609",84,61
"610",93,61
"611",95,61
"612",10,62
"613",16,62
"614",20,62
"615",59,62
"616",68,62
"617",92,62
"618",94,62
"619",1,63
"620",10,63
"621",17,63
"622",49,63
"623",54,63
"624",92,63
"625",93,63
"626",8,64
"627",21,64
"628",26,64
"629",27,64
"630",30,64
"631",53,64
"632",84,64
"633",6,65
"634",8,65
"635",12,65
"636",13,65
"637",42,65
"638",43,65
"639",51,65
"640",59,65
"641",94,65
"642",98,65
"643",8,66
"644",9,66
"645",33,66
"646",42,66
"647",46,66
"648",61,66
"649",71,66
"650",73,66
"651",80,66
"652",82,66
"653",92,66
"654",96,66
"655",98,66
"656",100,66
"657",20,67
"658",23,67
"659",29,67
"660",42,67
"661",45,67
"662",76,67
"663",92,67
"664",96,67
"665",1,68
"666",4,68
"667",8,68
"668",26,68
"669",29,68
"670",32,68
"671",46,68
"672",47,68
"673",52,68
"674",55,68
"675",58,68
"676",63,68
"677",89,68
"678",98,68
"679",2,69
"680",12,69
"681",29,69
"682",45,69
"683",61,69
"684",62,69
"685",73,69
"686",88,69
"687",19,70
"688",23,70
"689",24,70
"690",31,70
"691",54,70
"692",63,70
"693",64,70
"694",68,70
"695",75,70
"696",85,70
"697",93,70
"698",98,70
"699",4,71
"700",15,71
"701",30,71
"702",38,71
"703",47,71
"704",51,71
"705",55,71
"706",56,71
"707",66,71
"708",70,71
"709",71,100
"710",79,71
"711",82,71
"712",84,71
"713",85,71
"714",90,71
"715",92,71
"716",3,72
"717",17,72
"718",40,72
"719",60,72
"720",62,72
"721",80,72
"722",82,72
"723",94,72
"724",4,73
"725",10,73
"726",13,73
"727",33,73
"728",38,73
"729",39,73
"730",51,73
"731",52,73
"732",59,73
"733",72,73
"734",79,73
"735",83,73
"736",86,73
"737",96,73
"738",23,74
"739",28,74
"740",33,74
"741",39,74
"742",51,74
"743",57,74
"744",64,74
"745",76,74
"746",78,74
"747",81,74
"748",83,74
"749",84,74
"750",87,74
"751",100,74
"752",1,75
"753",26,75
"754",46,75
"755",64,75
"756",68,75
"757",73,75
"758",97,75
"759",100,75
"760",4,76
"761",14,76
"762",15,76
"763",18,76
"764",27,76
"765",30,76
"766",33,76
"767",54,76
"768",58,76
"769",69,76
"770",98,76
"771",15,77
"772",24,77
"773",42,77
"774",61,77
"775",70,77
"776",73,77
"777",75,77
"778",78,77
"779",87,77
"780",89,77
"781",4,78
"782",7,78
"783",20,78
"784",22,78
"785",23,78
"786",54,78
"787",63,78
"788",67,78
"789",96,78
"790",97,78
"791",3,79
"792",20,79
"793",32,79
"794",46,79
"795",50,79
"796",74,79
"797",77,79
"798",84,79
"799",99,79
"800",38,80
"801",39,80
"802",44,80
"803",57,80
"804",63,80
"805",69,80
"806",77,80
"807",78,80
"808",81,80
"809",2,81
"810",15,81
"811",25,81
"812",49,81
"813",60,81
"814",67,81
"815",72,81
"816",75,81
"817",81,100
"818",87,81
"819",94,81
"820",26,82
"821",29,82
"822",43,82
"823",48,82
"824",51,82
"825",59,82
"826",62,82
"827",66,82
"828",69,82
"829",72,82
"830",83,82
"831",86,82
"832",4,83
"833",7,83
"834",16,83
"835",19,83
"836",20,83
"837",31,83
"838",35,83
"839",41,83
"840",52,83
"841",69,83
"842",81,83
"843",85,83
"844",96,83
"845",99,83
"846",19,84
"847",32,84
"848",34,84
"849",53,84
"850",69,84
"851",71,84
"852",77,84
"853",98,84
"854",10,85
"855",35,85
"856",37,85
"857",49,85
"858",62,85
"859",78,85
"860",80,85
"861",86,85
"862",93,85
"863",96,85
"864",5,86
"865",13,86
"866",36,86
"867",39,86
"868",45,86
"869",53,86
"870",64,86
"871",75,86
"872",86,100
"873",91,86
"874",99,86
"875",4,87
"876",11,87
"877",13,87
"878",22,87
"879",25,87
"880",48,87
"881",57,87
"882",63,87
"883",7,88
"884",12,88
"885",13,88
"886",23,88
"887",45,88
"888",53,88
"889",55,88
"890",61,88
"891",69,88
"892",77,88
"893",14,89
"894",17,89
"895",22,89
"896",26,89
"897",50,89
"898",66,89
"899",72,89
"900",81,89
"901",98,89
"902",4,90
"903",5,90
"904",11,90
"905",24,90
"906",35,90
"907",42,90
"908",45,90
"909",54,90
"910",62,90
"911",67,90
"912",71,90
"913",86,90
"914",94,90
"915",99,90
"916",20,91
"917",30,91
"918",38,91
"919",40,91
"920",58,91
"921",69,91
"922",76,91
"923",78,91
"924",85,91
"925",1,92
"926",21,92
"927",40,92
"928",46,92
"929",52,92
"930",66,92
"931",72,92
"932",92,100
"933",10,93
"934",28,93
"935",38,93
"936",51,93
"937",52,93
"938",58,93
"939",59,93
"940",65,93
"941",68,93
"942",75,93
"943",81,93
"944",3,94
"945",7,94
"946",36,94
"947",42,94
"948",54,94
"949",66,94
"950",80,94
"951",82,94
"952",11,95
"953",12,95
"954",23,95
"955",41,95
"956",54,95
"957",87,95
"958",10,96
"959",17,96
"960",18,96
"961",22,96
"962",24,96
"963",44,96
"964",53,96
"965",56,96
"966",57,96
"967",59,96
"968",67,96
"969",98,96
"970",100,96
"971",7,97
"972",20,97
"973",21,97
"974",42,97
"975",57,97
"976",72,97
"977",100,97
"978",15,98
"979",38,98
"980",41,98
"981",49,98
"982",55,98
"983",60,98
"984",99,98
"985",100,98
"986",10,99
"987",21,99
"988",38,99
"989",42,99
"990",47,99
"991",51,99
"992",54,99
"993",60,99
"994",68,99
"995",76,99
"996",78,99
"997",80,99
"998",93,99
